종목코드,종목명,2025년 예상영업이익(억원),2026년 예상영업이익(억원),2027년 예상영업이익(억원),2028년 예상영업이익(억원),2029년 예상영업이익(억원),2030년 예상영업이익(억원),2031년 예상영업이익(억원),2032년 예상영업이익(억원)
005930,삼성전자,"108,800","100,500","91,900","141,000","116,100","85,700","84,500","89,200"
000660,SK하이닉스,"354,500","426,400","232,200","333,000","400,000","408,900","421,800","431,300"
373220,LG에너지솔루션,"22,500","64,600","25,700","31,700","65,199","-35,000","59,800","54,000"
005380,현대차,"81,300","74,000","87,500","95,000","83,400","60,500","81,800","79,300"
035420,NAVER,"184,300","191,500","173,900","181,100","193,400","187,800","181,300","185,300"
035720,카카오,"58,500","67,800","60,500","66,800","67,900","38,500","56,600","65,199"
051910,LG화학,"18,700","37,900","22,799","33,000","39,300","-20,400","36,700","30,099"
005490,POSCO홀딩스,"29,900","37,500","32,300","40,599","40,599","5,400","32,599","39,800"
000270,기아,"117,899","103,600","130,700","132,200","108,699","100,100","107,400","110,600"
207940,삼성바이오로직스,"290,300","307,100","233,700","375,600","285,200","259,200","374,900","309,000"
